val,date
0.023625933762822446,2022-09-16
0.02352022001076819,2022-09-17
0.023477341083119174,2022-09-18
0.023403831776781934,2022-09-19
0.023351794227732658,2022-09-20
0.02332969268614961,2022-09-21
0.023271674694661567,2022-09-22
0.023231940799891986,2022-09-23
0.0231590607914075,2022-09-24
0.023109135731451014,2022-09-25
0.02309786194793389,2022-09-26
0.0230654106704852,2022-09-27
0.022998701032358463,2022-09-28
0.022966423461821657,2022-09-29
0.022940326554044415,2022-09-30
0.02297686008689077,2022-10-01
0.02285759377970932,2022-10-02
0.02285934489253275,2022-10-03
0.02285230825279608,2022-10-04
0.022857615756851368,2022-10-05
0.02279359752309293,2022-10-06
0.02282710038590265,2022-10-07
0.02274390814430788,2022-10-08
0.022720665437030246,2022-10-09
0.02270222829982572,2022-10-10
0.022684186913837372,2022-10-11
0.022676024319876555,2022-10-12
0.02265487816740415,2022-10-13
0.022624854702841472,2022-10-14
0.022608789743359118,2022-10-15
0.022601357130658084,2022-10-16
0.022600329396455215,2022-10-17
0.022575584912585732,2022-10-18
0.0225245725185735,2022-10-19
0.022451828031350877,2022-10-20
0.02241001200395692,2022-10-21
0.022381054457948732,2022-10-22
0.02236756496904784,2022-10-23
0.022479116012175206,2022-10-24
0.022446992922082184,2022-10-25
0.022269005883679728,2022-10-26
0.02221113945356808,2022-10-27
0.02217636686604875,2022-10-28
0.022117775877699048,2022-10-29
0.02203194778690579,2022-10-30
0.021974636423341905,2022-10-31
0.022077263994099466,2022-11-01
0.021904492429443267,2022-11-02
0.021864543489900166,2022-11-03
0.02184106236194656,2022-11-04
0.021821072473836283,2022-11-05
0.021769844211090485,2022-11-06
0.021751534582537646,2022-11-07
0.02173691508492568,2022-11-08
0.02175000860233335,2022-11-09
0.021679377974022085,2022-11-10
0.02164711925089029,2022-11-11
0.02159343004186769,2022-11-12
0.021552883136092407,2022-11-13
0.021533752073614475,2022-11-14
0.021493066615864042,2022-11-15
